ID_DEPTO,Area,ID_Grupo_Etario,Casos
06756,San Isidro,1,17057
06756,San Isidro,2,22338
06756,San Isidro,3,29037
06756,San Isidro,4,31628
06756,San Isidro,5,126145
06756,San Isidro,6,69773
06760,San Miguel,1,24752
06760,San Miguel,2,31904
06760,San Miguel,3,35784
06760,San Miguel,4,41753
06760,San Miguel,5,143458
06760,San Miguel,6,49999
06763,San Nicolás,1,12727
06763,San Nicolás,2,15253
06763,San Nicolás,3,17817
06763,San Nicolás,4,18851
06763,San Nicolás,5,71521
06763,San Nicolás,6,30488
06770,San Pedro,1,5781
06770,San Pedro,2,7116
06770,San Pedro,3,8280
06770,San Pedro,4,8284
06770,San Pedro,5,28066
06770,San Pedro,6,10826
06778,San Vicente,1,9859
06778,San Vicente,2,12095
06778,San Vicente,3,12889
06778,San Vicente,4,12045
06778,San Vicente,5,40661
06778,San Vicente,6,10380
06784,Suipacha,1,981
06784,Suipacha,2,1157
06784,Suipacha,3,1428
06784,Suipacha,4,1271
06784,Suipacha,5,4842
06784,Suipacha,6,2057
06791,Tandil,1,9785
06791,Tandil,2,12620
06791,Tandil,3,14987
06791,Tandil,4,16912
06791,Tandil,5,63665
06791,Tandil,6,26709
06798,Tapalqué,1,873
06798,Tapalqué,2,971
06798,Tapalqué,3,1213
06798,Tapalqué,4,1224
06798,Tapalqué,5,4349
06798,Tapalqué,6,2065
06805,Tigre,1,32611
06805,Tigre,2,44078
06805,Tigre,3,53284
06805,Tigre,4,54389
06805,Tigre,5,197497
06805,Tigre,6,64432
06812,Tordillo,1,244
06812,Tordillo,2,259
06812,Tordillo,3,270
06812,Tordillo,4,319
06812,Tordillo,5,1071
06812,Tordillo,6,365
06819,Tornquist,1,997
06819,Tornquist,2,1351
06819,Tornquist,3,1436
06819,Tornquist,4,1237
06819,Tornquist,5,6395
06819,Tornquist,6,3175
06826,Trenque Lauquen,1,4016
06826,Trenque Lauquen,2,4578
06826,Trenque Lauquen,3,5190
06826,Trenque Lauquen,4,5170
06826,Trenque Lauquen,5,21323
06826,Trenque Lauquen,6,8851
06833,Tres Arroyos,1,4260
06833,Tres Arroyos,2,5501
06833,Tres Arroyos,3,6283
06833,Tres Arroyos,4,5866
06833,Tres Arroyos,5,26691
06833,Tres Arroyos,6,13288
06840,Tres de Febrero,1,21166
06840,Tres de Febrero,2,28750
06840,Tres de Febrero,3,35036
06840,Tres de Febrero,4,40226
06840,Tres de Febrero,5,161712
06840,Tres de Febrero,6,75429
06847,Tres Lomas,1,682
06847,Tres Lomas,2,834
06847,Tres Lomas,3,986
06847,Tres Lomas,4,981
06847,Tres Lomas,5,3743
06847,Tres Lomas,6,1864
06854,25 de Mayo,1,2706
06854,25 de Mayo,2,3189
06854,25 de Mayo,3,3782
06854,25 de Mayo,4,3670
06854,25 de Mayo,5,14709
06854,25 de Mayo,6,7355
06861,Vicente López,1,14893
06861,Vicente López,2,19249
06861,Vicente López,3,24673
06861,Vicente López,4,26472
06861,Vicente López,5,125306
06861,Vicente López,6,69948
06868,Villa Gesell,1,2583
06868,Villa Gesell,2,3608
06868,Villa Gesell,3,4460
06868,Villa Gesell,4,3984
06868,Villa Gesell,5,16289
06868,Villa Gesell,6,6401
06875,Villarino,1,2586
06875,Villarino,2,3167
06875,Villarino,3,3798
06875,Villarino,4,4013
06875,Villarino,5,13891
06875,Villarino,6,5097
06882,Zárate,1,9976
06882,Zárate,2,13121
06882,Zárate,3,15610
06882,Zárate,4,16707
06882,Zárate,5,56432
06882,Zárate,6,19569
10007,Ambato,1,374
10007,Ambato,2,365
10007,Ambato,3,475
10007,Ambato,4,685
10007,Ambato,5,2137
10007,Ambato,6,1051
10014,Ancasti,1,243
10014,Ancasti,2,286
10014,Ancasti,3,370
10014,Ancasti,4,409
10014,Ancasti,5,1366
10014,Ancasti,6,608
10021,Andalgalá,1,1535
10021,Andalgalá,2,1720
10021,Andalgalá,3,2368
10021,Andalgalá,4,2562
10021,Andalgalá,5,8354
10021,Andalgalá,6,3006
10028,Antofagasta de la Sierra,1,142
10028,Antofagasta de la Sierra,2,203
