Provincia,Departamento,Jardines,Poblacion_Jardin,Primarias,Poblacion_Primaria,Secundarias,Poblacion_Secundaria
La Pampa,Puelén,8.0,1095,8.0,1350,6.0,1404
Córdoba,Punilla,78.0,15214,82.0,19630,62.0,23311
Buenos Aires,Punta Indio,9.0,936,14.0,1193,7.0,1238
Santiago del Estero,Quebrachos,27.0,1286,43.0,1334,16.0,1575
La Pampa,Quemú Quemú,5.0,600,7.0,699,6.0,933
Buenos Aires,Quilmes,162.0,47353,146.0,60261,167.0,70705
Chaco,Quitilipi,31.0,3168,54.0,3266,17.0,4092
Buenos Aires,Ramallo,12.0,3451,24.0,4031,13.0,4764
Formosa,Ramón Lista,34.0,2421,59.0,2783,16.0,3034
La Pampa,Rancul,10.0,853,11.0,1070,9.0,1375
Buenos Aires,Rauch,18.0,1197,24.0,1501,8.0,1779
Chubut,Rawson,74.0,10491,49.0,13418,47.0,15650
San Juan,Rawson,37.0,11959,49.0,14695,24.0,16316
La Pampa,Realicó,9.0,1232,12.0,1651,11.0,1945
Jujuy,Rinconada,12.0,170,13.0,241,6.0,238
Salta,Rivadavia,100.0,5048,104.0,5525,19.0,5831
Buenos Aires,Rivadavia,15.0,1734,20.0,2000,11.0,2190
San Juan,Rivadavia,34.0,8399,35.0,10029,20.0,11273
Mendoza,Rivadavia,43.0,5261,31.0,6608,15.0,7111
Santiago del Estero,Rivadavia,12.0,487,16.0,561,5.0,627
Santiago del Estero,Robles,46.0,5435,38.0,6060,27.0,7095
Buenos Aires,Rojas,20.0,1851,23.0,2284,10.0,2802
Buenos Aires,Roque Pérez,17.0,1104,25.0,1342,7.0,1546
Santa Fe,Rosario,343.0,97904,342.0,117871,331.0,130364
La Rioja,Rosario Vera Peñaloza,21.0,1310,34.0,1652,26.0,1864
Salta,Rosario de Lerma,32.0,4735,33.0,5684,13.0,6128
Salta,Rosario de la Frontera,34.0,2966,33.0,3545,13.0,3903
Tucumán,Río Chico,30.0,5525,30.0,6593,28.0,7630
Santa Cruz,Río Chico,3.0,585,4.0,744,3.0,783
Córdoba,Río Cuarto,142.0,21670,155.0,24667,100.0,28427
Tierra del Fuego,Río Grande,28.0,8087,33.0,10167,33.0,11428
Santiago del Estero,Río Hondo,67.0,6377,68.0,7369,49.0,8056
Córdoba,Río Primero,63.0,5303,74.0,5663,31.0,6638
Córdoba,Río Seco,29.0,1324,37.0,1591,10.0,1918
Córdoba,Río Segundo,64.0,8823,73.0,10379,51.0,12099
Chubut,Río Senguer,8.0,565,9.0,638,10.0,625
Buenos Aires,Saavedra,15.0,1436,18.0,1822,11.0,2086
